date,content,label,confidence,W,P,C,L,length_factor,severity
2023-01-15,sec announces comprehensive cryptocurrency regulatory framework focusing on investor protection,neutral,0.8021582365036011,0.0,0.0,0.0,0.8021582365036011,0.2,0.20043164730072022
2023-01-15,federal reserve warns about cryptocurrency risks to financial stability,negative,0.8143242597579956,0.0,0.0,0.0,0.8143242597579956,0.18,0.19886485195159911
2023-01-16,cftc increases enforcement actions against unregistered crypto exchanges,negative,0.7089594602584839,0.0,0.0,0.1111111111111111,0.7089594602584839,0.16,0.19601411427391902
2023-01-16,european union finalizes markets in cryptoassets regulation,neutral,0.9482516646385193,0.0,0.125,0.0,0.9482516646385193,0.14,0.24265033292770388
2023-01-17,bitcoin price surges 15 following positive regulatory clarity from us treasury,positive,0.8715822696685791,0.08333333333333333,0.0,0.0,0.8715822696685791,0.22,0.2349831206003825
2023-01-17,china maintains strict stance on cryptocurrency mining operations,neutral,0.8878827691078186,0.1111111111111111,0.0,0.0,0.8878827691078186,0.16,0.23179877604378593
2023-01-18,binance announces compliance with new international regulatory standards,positive,0.8851184844970703,0.0,0.1111111111111111,0.0,0.8851184844970703,0.16,0.23124591912163628
2023-01-18,ethereum developers discuss potential regulatory implications of upcoming upgrades,neutral,0.9357478618621826,0.0,0.0,0.0,0.9357478618621826,0.18,0.22314957237243652
2023-01-19,us congress holds hearing on cryptocurrency innovation and consumer protection,neutral,0.9295099377632141,0.09090909090909091,0.0,0.0,0.9295099377632141,0.2,0.24408380573446098
2023-01-19,japans financial services agency updates crypto exchange licensing requirements,neutral,0.8975445032119751,0.0,0.0,0.2,0.8975445032119751,0.18,0.255508900642395
2023-01-20,defi protocols face increasing regulatory scrutiny from global authorities,negative,0.7791696786880493,0.0,0.0,0.1,0.7791696786880493,0.18,0.21183393573760986
2023-01-20,sec charges major cryptocurrency exchange for securities law violations,negative,0.7537999153137207,0.0,0.1,0.1,0.7537999153137207,0.18,0.2267599830627441
2023-01-21,switzerland adopts progressive cryptocurrency regulatory framework,neutral,0.8829308748245239,0.0,0.0,0.0,0.8829308748245239,0.12,0.2005861749649048
2023-01-21,india considers complete ban on private cryptocurrencies while developing cbdc,neutral,0.8735870122909546,0.09090909090909091,0.09090909090909091,0.0,0.8735870122909546,0.2,0.2510810388218273
2023-01-22,uk fca issues warning about unregulated crypto investment schemes,negative,0.8868789076805115,0.1,0.0,0.1,0.8868789076805115,0.18,0.2533757815361023
2023-01-22,south korea tightens cryptocurrency exchange monitoring and reporting requirements,negative,0.8545193672180176,0.0,0.0,0.1,0.8545193672180176,0.18,0.22690387344360352
2023-01-23,canada proposes new tax reporting rules for cryptocurrency transactions,neutral,0.8665259480476379,0.0,0.1,0.0,0.8665259480476379,0.18,0.2293051896095276
2023-01-23,australia updates regulatory guidance for cryptocurrency custodians,neutral,0.9173102974891663,0.0,0.0,0.0,0.9173102974891663,0.14,0.21146205949783328
2023-01-24,germanys bafin implements stricter aml requirements for crypto businesses,neutral,0.9016381502151489,0.0,0.0,0.1,0.9016381502151489,0.18,0.23632763004302978
2023-01-24,singapores mas announces new digital payment token regulations,neutral,0.6790671944618225,0.0,0.0,0.0,0.6790671944618225,0.16,0.1678134388923645
2023-01-25,france considers cryptocurrency taxation reforms to align with eu standards,positive,0.5268990993499756,0.09090909090909091,0.0,0.0,0.5268990993499756,0.2,0.1635616380518133
2023-01-25,international regulatory body coordinates global cryptocurrency oversight efforts,neutral,0.9485253095626831,0.0,0.0,0.1111111111111111,0.9485253095626831,0.16,0.24392728413475884
2023-01-26,major banks announce cryptocurrency services following regulatory approval,neutral,0.9378407001495361,0.0,0.0,0.0,0.9378407001495361,0.16,0.2195681400299072
2023-01-26,regulatory uncertainty causes cryptocurrency market volatility,negative,0.7668309211730957,0.0,0.0,0.14285714285714285,0.7668309211730957,0.12,0.20593761280604772
2023-01-27,sec provides guidance on cryptocurrency custody requirements for institutions,neutral,0.9462205767631531,0.0,0.0,0.0,0.9462205767631531,0.18,0.22524411535263061
2023-01-27,global cryptocurrency trading volume increases despite regulatory challenges,positive,0.9498324990272522,0.0,0.0,0.1111111111111111,0.9498324990272522,0.16,0.24418872202767267
2023-01-28,new york department of financial services updates bitlicense requirements,neutral,0.8963217735290527,0.0,0.0,0.0,0.8963217735290527,0.18,0.21526435470581054
2023-01-28,european central bank research paper discusses cryptocurrency regulation impact,neutral,0.9333195686340332,0.0,0.1,0.0,0.9333195686340332,0.18,0.24266391372680665
2023-01-29,cryptocurrency industry calls for clear regulatory framework in the united states,neutral,0.8217132687568665,0.0,0.0,0.0,0.8217132687568665,0.22,0.20834265375137329
2023-01-29,international monetary fund releases global cryptocurrency regulation guidelines,neutral,0.9382591247558594,0.0,0.1111111111111111,0.1111111111111111,0.9382591247558594,0.16,0.2640962693956163
2023-01-30,regulatory clarity drives institutional cryptocurrency adoption,neutral,0.8054812550544739,0.0,0.0,0.0,0.8054812550544739,0.12,0.18509625101089477
2023-01-30,compliance costs challenge smaller cryptocurrency exchanges,negative,0.8989480137825012,0.0,0.14285714285714285,0.0,0.8989480137825012,0.12,0.23236103132792882
2023-01-31,federal reserve research paper explores central bank digital currencies,neutral,0.8748161196708679,0.0,0.0,0.0,0.8748161196708679,0.18,0.21096322393417358
2023-01-31,global regulators coordinate on cryptocurrency market stability measures,neutral,0.931606113910675,0.0,0.0,0.2222222222222222,0.931606113910675,0.16,0.26276566722657946
2023-01-15,federal reserve signals potential interest rate hikes amid inflation concerns,positive,0.6132035851478577,0.0,0.0,0.0,0.6132035851478577,0.2,0.16264071702957153
2023-01-15,stock markets rally on better than expected earnings reports,positive,0.6797335743904114,0.0,0.0,0.0,0.6797335743904114,0.18,0.17194671487808227
2023-01-16,us dollar strengthens against major currencies,positive,0.9158684015274048,0.14285714285714285,0.0,0.0,0.9158684015274048,0.12,0.23574510887690953
2023-01-16,technology sector leads gains amid ai optimism,positive,0.8383904695510864,0.0,0.0,0.0,0.8383904695510864,0.14,0.1956780939102173
2023-01-17,oil prices surge on supply chain disruptions,negative,0.9398099184036255,0.0,0.0,0.0,0.9398099184036255,0.14,0.2159619836807251
2023-01-17,housing market shows signs of cooling in key metropolitan areas,negative,0.8105912804603577,0.0,0.0,0.09090909090909091,0.8105912804603577,0.2,0.22030007427388973
2023-01-18,european central bank maintains current monetary policy stance,neutral,0.8878505229949951,0.0,0.0,0.0,0.8878505229949951,0.16,0.209570104598999
2023-01-18,global trade volumes decline amid economic uncertainty,negative,0.9714025855064392,0.0,0.0,0.125,0.9714025855064392,0.14,0.24728051710128787
2023-01-19,banking sector reports strong quarterly earnings,positive,0.9500178098678589,0.0,0.0,0.0,0.9500178098678589,0.12,0.2140035619735718
2023-01-19,consumer confidence index improves slightly,positive,0.9107390642166138,0.0,0.0,0.0,0.9107390642166138,0.1,0.20214781284332278
2023-01-20,manufacturing data shows mixed results globally,negative,0.9692131876945496,0.0,0.0,0.0,0.9692131876945496,0.12,0.21784263753890992
2023-01-20,emerging markets face currency volatility,negative,0.7857548594474792,0.0,0.0,0.0,0.7857548594474792,0.1,0.17715097188949586
2023-01-21,corporate bond markets see increased activity,positive,0.9271300435066223,0.0,0.0,0.0,0.9271300435066223,0.12,0.2094260087013245
2023-01-21,commodity prices stabilize after recent volatility,negative,0.4932098090648651,0.0,0.0,0.0,0.4932098090648651,0.12,0.12264196181297302
2023-01-22,federal budget deficit concerns grow,negative,0.8657644987106323,0.0,0.0,0.0,0.8657644987106323,0.1,0.19315289974212646
2023-01-22,retail sales data exceeds analyst expectations,positive,0.9057357311248779,0.0,0.0,0.0,0.9057357311248779,0.12,0.2051471462249756
2023-01-23,unemployment claims rise modestly,positive,0.7738492488861084,0.0,0.0,0.0,0.7738492488861084,0.08,0.17076984977722168
2023-01-23,inflation shows signs of moderation,positive,0.7691795229911804,0.0,0.0,0.0,0.7691795229911804,0.1,0.17383590459823609
2023-01-24,federal reserve officials signal cautious approach to policy changes,neutral,0.5321009159088135,0.0,0.0,0.0,0.5321009159088135,0.18,0.1424201831817627
2023-01-24,international trade agreements face renegotiation,negative,0.5526487827301025,0.0,0.0,0.0,0.5526487827301025,0.1,0.1305297565460205
2023-01-25,technology stocks lead market gains,neutral,0.6280324459075928,0.0,0.0,0.16666666666666666,0.6280324459075928,0.1,0.17893982251485188
2023-01-25,energy sector benefits from higher oil prices,positive,0.8622941374778748,0.0,0.0,0.0,0.8622941374778748,0.14,0.20045882749557498
2023-01-26,banking regulations proposed to increase capital requirements,positive,0.7925143241882324,0.0,0.0,0.0,0.7925143241882324,0.14,0.1865028648376465
2023-01-26,consumer spending patterns shift towards digital payments,neutral,0.8652827143669128,0.0,0.0,0.0,0.8652827143669128,0.14,0.2010565428733826
2023-01-27,housing market inventory levels increase,neutral,0.4772885739803314,0.0,0.0,0.16666666666666666,0.4772885739803314,0.1,0.1487910481293996
2023-01-27,manufacturing slowdown concerns grow,negative,0.9089697003364563,0.0,0.0,0.0,0.9089697003364563,0.08,0.19779394006729126
2023-01-28,federal budget negotiations continue in congress,neutral,0.8559619188308716,0.0,0.0,0.0,0.8559619188308716,0.12,0.19519238376617432
2023-01-28,international monetary policies show divergence,negative,0.5199796557426453,0.0,0.0,0.0,0.5199796557426453,0.1,0.12399593114852905
2023-01-29,corporate earnings season begins with mixed results,negative,0.9679272174835205,0.0,0.0,0.0,0.9679272174835205,0.14,0.22158544349670412
2023-01-29,economic indicators suggest moderate growth,positive,0.9024645090103149,0.0,0.0,0.0,0.9024645090103149,0.1,0.200492901802063
2023-01-30,federal reserve research paper discusses digital currency implications,neutral,0.9335586428642273,0.0,0.0,0.0,0.9335586428642273,0.16,0.21871172857284543
2023-01-30,global financial markets show resilience,positive,0.9122743606567383,0.0,0.0,0.16666666666666666,0.9122743606567383,0.1,0.23578820546468102
2023-01-31,banking sector faces new compliance challenges,negative,0.9206562042236328,0.0,0.14285714285714285,0.0,0.9206562042236328,0.12,0.23670266941615514
2023-01-31,international trade tensions affect market sentiment,negative,0.6633387207984924,0.0,0.0,0.14285714285714285,0.6633387207984924,0.12,0.18523917273112706
2023-01-15,coinbase announces new institutional cryptocurrency custody services,neutral,0.9038179516792297,0.0,0.0,0.0,0.9038179516792297,0.14,0.20876359033584596
2023-01-15,binance launches new regulatory compliance program,neutral,0.5220592021942139,0.0,0.14285714285714285,0.0,0.5220592021942139,0.12,0.15698326901027132
2023-01-16,kraken secures regulatory license in european jurisdiction,positive,0.6933145523071289,0.0,0.0,0.0,0.6933145523071289,0.14,0.16666291046142578
2023-01-16,cryptocom partners with traditional bank for payment services,neutral,0.8142964839935303,0.0,0.0,0.0,0.8142964839935303,0.16,0.19485929679870606
2023-01-17,uniswap governance proposal addresses regulatory compliance,neutral,0.9427900314331055,0.0,0.14285714285714285,0.0,0.9427900314331055,0.12,0.24112943485804966
2023-01-17,usdc stablecoin receives regulatory approval in multiple jurisdictions,positive,0.7367101311683655,0.0,0.0,0.0,0.7367101311683655,0.16,0.1793420262336731
2023-01-18,chainalysis reports increased regulatory compliance in crypto transactions,positive,0.9561423659324646,0.0,0.1111111111111111,0.1111111111111111,0.9561423659324646,0.16,0.26767291763093737
2023-01-18,metamask integrates new identity verification features,neutral,0.7662935853004456,0.0,0.0,0.0,0.7662935853004456,0.12,0.1772587170600891
2023-01-19,opensea implements new kyc requirements for highvalue transactions,neutral,0.580250084400177,0.0,0.0,0.0,0.580250084400177,0.16,0.1480500168800354
2023-01-19,defi protocols adapt to evolving regulatory landscape,neutral,0.7757362723350525,0.0,0.0,0.0,0.7757362723350525,0.14,0.1831472544670105
2023-01-20,cryptocurrency exchanges report increased cooperation with regulators,positive,0.9424263834953308,0.0,0.0,0.0,0.9424263834953308,0.14,0.2164852766990662
2023-01-20,lightning network adoption grows despite regulatory uncertainty,positive,0.9352359175682068,0.0,0.0,0.0,0.9352359175682068,0.14,0.21504718351364138
2023-01-21,ethereum 20 upgrade addresses regulatory concerns,neutral,0.8066837787628174,0.0,0.0,0.0,0.8066837787628174,0.12,0.18533675575256348
2023-01-21,polygon announces new compliance framework for developers,neutral,0.5148812532424927,0.0,0.125,0.0,0.5148812532424927,0.14,0.15597625064849854
2023-01-22,solana implements new transaction monitoring tools,positive,0.5037001371383667,0.0,0.0,0.0,0.5037001371383667,0.12,0.12474002742767334
2023-01-22,avalanche ecosystem focuses on regulatory compliance,neutral,0.9371001124382019,0.0,0.14285714285714285,0.0,0.9371001124382019,0.12,0.23999145105906897
2023-01-23,cardano introduces new governance mechanisms for regulatory alignment,neutral,0.7714341878890991,0.0,0.0,0.0,0.7714341878890991,0.16,0.18628683757781983
2023-01-23,polkadot parachains implement standardized compliance protocols,neutral,0.8335315585136414,0.0,0.14285714285714285,0.0,0.8335315585136414,0.12,0.21927774027415686
2023-01-24,cosmos hub updates validator requirements for regulatory compliance,neutral,0.9109113216400146,0.0,0.1111111111111111,0.0,0.9109113216400146,0.16,0.23640448655022514
2023-01-24,algorand launches new regulatory compliance toolkit,positive,0.523646891117096,0.0,0.14285714285714285,0.0,0.523646891117096,0.12,0.15730080679484776
2023-01-25,hedera integrates new antimoney laundering features,neutral,0.6769570112228394,0.0,0.0,0.0,0.6769570112228394,0.12,0.15939140224456788
2023-01-25,tezos blockchain adopts new governance standards,neutral,0.7701427936553955,0.0,0.0,0.0,0.7701427936553955,0.12,0.1780285587310791
2023-01-26,near protocol implements new user verification systems,neutral,0.8460543751716614,0.0,0.0,0.0,0.8460543751716614,0.14,0.19721087503433227
2023-01-26,fantom foundation announces regulatory compliance fund,negative,0.7468312382698059,0.0,0.14285714285714285,0.0,0.7468312382698059,0.12,0.20193767622538977
2023-01-27,harmony blockchain focuses on crosschain regulatory compliance,neutral,0.9388870000839233,0.0,0.125,0.0,0.9388870000839233,0.14,0.2407774000167847
2023-01-27,elrond network launches new institutional compliance program,positive,0.507175087928772,0.0,0.125,0.0,0.507175087928772,0.14,0.1544350175857544
2023-01-28,vechain enhances supply chain compliance features,positive,0.8601107001304626,0.0,0.14285714285714285,0.0,0.8601107001304626,0.12,0.2245935685975211
2023-01-28,theta network implements new content moderation policies,neutral,0.720352053642273,0.0,0.0,0.0,0.720352053642273,0.14,0.17207041072845458
2023-01-29,iota foundation focuses on regulatory compliance for iot applications,neutral,0.9193263053894043,0.0,0.1,0.0,0.9193263053894043,0.18,0.23986526107788086
2023-01-29,stellar integrates new kycaml protocols,neutral,0.7525998950004578,0.0,0.0,0.0,0.7525998950004578,0.1,0.17051997900009155
2023-01-30,flow blockchain introduces new developer compliance guidelines,neutral,0.7325973510742188,0.0,0.125,0.0,0.7325973510742188,0.14,0.19951947021484376
2023-01-30,aptos ecosystem focuses on regulatory compliance from launch,neutral,0.9147817492485046,0.0,0.1111111111111111,0.0,0.9147817492485046,0.16,0.23717857207192314
2023-01-31,sui network implements advanced compliance monitoring,neutral,0.6493882536888123,0.0,0.14285714285714285,0.0,0.6493882536888123,0.12,0.18244907930919102
2023-01-31,arbitrum foundation announces regulatory compliance initiatives,neutral,0.6232174634933472,0.0,0.14285714285714285,0.0,0.6232174634933472,0.12,0.177214921270098
